address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,,Alberta,300,,,2006-02-15 09:45:30
2,28 MySQL Boulevard,,QLD,576,,,2006-02-15 09:45:30
3,23 Workhaven Lane,,Alberta,300,,14033335568.0,2006-02-15 09:45:30
4,1411 Lillydale Drive,,QLD,576,,6172235589.0,2006-02-15 09:45:30
5,1913 Hanoi Way,,Nagasaki,463,35200.0,28303384290.0,2006-02-15 09:45:30
6,1121 Loja Avenue,,California,449,17886.0,838635286649.0,2006-02-15 09:45:30
7,692 Joliet Street,,Attika,38,83579.0,448477190408.0,2006-02-15 09:45:30
8,1566 Inegl Manor,,Mandalay,349,53561.0,705814003527.0,2006-02-15 09:45:30
9,53 Idfu Parkway,,Nantou,361,42399.0,10655648674.0,2006-02-15 09:45:30
10,1795 Santiago de Compostela Way,,Texas,295,18743.0,860452626434.0,2006-02-15 09:45:30
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896.0,716571220373.0,2006-02-15 09:45:30
12,478 Joliet Way,,Hamilton,200,77948.0,657282285970.0,2006-02-15 09:45:30
13,613 Korolev Drive,,Masqat,329,45844.0,380657522649.0,2006-02-15 09:45:30
14,1531 Sal Drive,,Esfahan,162,53628.0,648856936185.0,2006-02-15 09:45:30
15,1542 Tarlac Parkway,,Kanagawa,440,1027.0,635297277345.0,2006-02-15 09:45:30
16,808 Bhopal Manor,,Haryana,582,10672.0,465887807014.0,2006-02-15 09:45:30
17,270 Amroha Parkway,,Osmaniye,384,29610.0,695479687538.0,2006-02-15 09:45:30
18,770 Bydgoszcz Avenue,,California,120,16266.0,517338314235.0,2006-02-15 09:45:30
19,419 Iligan Lane,,Madhya Pradesh,76,72878.0,990911107354.0,2006-02-15 09:45:30
20,360 Toulouse Parkway,,England,495,54308.0,949312333307.0,2006-02-15 09:45:30
